iter	RMSE
0	15.63546983
1	15.27211344
2	14.91685131
3	14.56734072
4	14.23390065
5	13.9002834
6	13.62882269
7	13.34939481
8	13.06963238
9	12.79265428
10	12.5279088
11	12.27249695
12	12.02714754
13	11.78020632
14	11.53345316
15	11.3384556
16	11.13130437
17	10.92170912
18	10.74103806
19	10.56125148
20	10.36312088
21	10.18311315
22	10.0241685
23	9.865742377
24	9.690403851
25	9.561626173
26	9.405025968
27	9.280521966
28	9.144998361
29	9.007566898
30	8.872586938
31	8.76202421
32	8.627883134
33	8.518437757
34	8.397753146
35	8.288340704
36	8.174605841
37	8.0792246
38	7.968276878
39	7.884284483
40	7.795841409
41	7.703024632
42	7.623244735
43	7.553256257
44	7.462150462
45	7.377903718
46	7.306049358
47	7.229865501
48	7.139141124
49	7.070113109
50	6.998447428
51	6.934259609
52	6.869370194
53	6.802859708
54	6.732077723
55	6.668027906
56	6.608373145
57	6.538188516
58	6.472286839
59	6.433114445
60	6.384367109
61	6.335944692
62	6.281530167
63	6.240709088
64	6.184945789
65	6.134404914
66	6.089269812
67	6.052954825
68	6.011098968
69	5.969739569
70	5.936811612
71	5.896702692
72	5.868014009
73	5.830659929
74	5.792019681
75	5.76450499
76	5.727445364
77	5.69183009
78	5.657246122
79	5.621038424
80	5.590300483
81	5.551868062
82	5.521734914
83	5.497510215
84	5.466251579
85	5.447936369
86	5.426119179
87	5.398461273
88	5.371761744
89	5.354918627
90	5.330794886
91	5.296441572
92	5.270997517
93	5.250442895
94	5.220242019
95	5.19363443
96	5.174348009
97	5.158629377
98	5.130331959
99	5.108352261
100	5.08431982
101	5.06286139
102	5.049979637
103	5.036481961
104	5.01687829
105	5.002882577
106	4.988723179
107	4.973661235
108	4.950662982
109	4.933227729
110	4.918415198
111	4.905419697
112	4.887888561
113	4.868815234
114	4.857314539
115	4.845078267
116	4.836887499
117	4.817383503
118	4.805931674
119	4.793006754
120	4.777293177
121	4.765013807
122	4.749223743
123	4.731742923
124	4.717992511
125	4.699930522
126	4.685685098
127	4.667892936
128	4.657579951
129	4.64660953
130	4.634881002
131	4.61992459
132	4.602813157
133	4.592160259
134	4.578068293
135	4.565692265
136	4.555700917
137	4.544020429
138	4.532267565
139	4.523353302
140	4.515059827
141	4.501411655
142	4.491472604
143	4.480864739
144	4.471083334
145	4.458984606
146	4.447347587
147	4.431730298
148	4.421077838
149	4.407045818
150	4.39504483
151	4.384382535
152	4.36907324
153	4.356812561
154	4.340608668
155	4.330396867
156	4.315525535
157	4.303444019
158	4.294603691
159	4.282752468
160	4.272568367
161	4.26238124
162	4.252863412
163	4.24235831
164	4.228009756
165	4.220047286
166	4.211810284
167	4.204767576
168	4.196256326
169	4.185549488
170	4.170662069
171	4.159807655
172	4.145636318
173	4.136352257
174	4.129703627
175	4.118988995
176	4.109612531
177	4.097915656
178	4.089336301
179	4.079713043
180	4.070506563
181	4.062669336
182	4.056636055
183	4.048203522
184	4.033314273
185	4.027762041
186	4.0194004
187	4.00728028
188	3.999255964
189	3.989512076
190	3.981370567
191	3.972149599
192	3.964120058
193	3.951092112
194	3.944186236
195	3.932705381
196	3.928803808
197	3.916431269
198	3.907949613
199	3.90198806
200	3.895887406
201	3.88848641
202	3.87956751
203	3.869434963
204	3.859549043
205	3.848084631
206	3.837351597
207	3.826630307
208	3.817714223
209	3.811384414
210	3.799048187
211	3.793556025
212	3.787874775
213	3.783960854
214	3.776098846
215	3.770253907
216	3.764665876
